age,geographic_location,marital_status,number_of_dependents,occupation,employment_type,monthly_income,job_stability,total_debt,credit_score,savings_investments,monthly_fixed_expenses,monthly_variable_expenses,saving_goals_short_long_term,investment_preferences,risk_tolerance,financial_priorities,use_of_financial_management_tools,payment_history,experiences_with_financial_advising,label
65,Suburban,Divorced,2,Unemployed,Full-Time,1500.2507805265823,19,30505.36005765773,823,9831.3922643061,809.5938739208123,824.772677738515,5255.114579015995,Bonds,Low,Save for House,False,Good,False,Invest in Stocks
18,Rural,Divorced,1,Employed,Full-Time,4437.710169845837,4,16770.90148189225,827,13638.46769195391,1829.1933743061409,1050.880576954427,13128.452862761704,Bonds,Low,Save for House,True,Poor,False,Increase Savings
36,Suburban,Single,0,Self-Employed,Full-Time,3505.178963782465,15,33546.32682303536,705,13726.674122137829,2193.1844569203477,407.2413489251998,30543.656563745804,Cryptocurrency,High,Retirement,False,Poor,False,Increase Savings
53,Suburban,Widowed,2,Student,Part-Time,6185.184772130482,5,0.0,391,8421.35809080991,1072.3869636010072,715.8072790213712,25063.20953579479,Stocks,Medium,Travel,True,Poor,False,Reduce Expenses
42,Rural,Married,3,Self-Employed,Part-Time,4951.849859467423,22,0.0,343,8518.205072510576,2580.244749235282,545.3916404130724,8329.010225019567,Bonds,High,Travel,False,Poor,True,Invest in Stocks
67,Urban,Divorced,2,Employed,Contract,7278.702692350107,6,11482.950684807149,568,16079.362775709666,1561.8062737315606,409.7989660150743,16524.617654619855,Real Estate,Low,Save for House,False,Average,False,Increase Savings
69,Suburban,Married,2,Unemployed,Part-Time,2963.0624287109263,10,60009.83133326265,674,8605.075874885022,1639.328954280389,774.0287036512144,26664.526292860846,Bonds,Medium,Save for House,False,Poor,True,Invest in Stocks
47,Suburban,Widowed,2,Employed,Contract,5088.383563305554,9,19998.97471142425,302,2757.6635733918765,735.7924306034902,1245.9573894822142,13024.396306595758,Stocks,High,Save for House,False,Average,False,Invest in Stocks
37,Suburban,Divorced,2,Self-Employed,Intern,4375.323007185566,22,0.0,759,12900.193172584282,1141.1166954399241,877.2082093781398,33797.4854307087,Cryptocurrency,Medium,Retirement,True,Average,True,Invest in Stocks
37,Urban,Divorced,3,Self-Employed,Intern,3525.9400621904715,19,14599.554007641935,690,10783.745622237813,1793.4790639742498,879.2909497445487,11550.103337053903,Cryptocurrency,Low,Save for House,True,Average,False,Invest in Stocks
32,Urban,Married,1,Employed,Full-Time,8800.61304417828,26,29262.408223517617,515,13198.620271807878,1606.2841464449443,696.359130197564,20423.93069194747,Stocks,Low,Save for House,True,Good,True,Increase Savings
57,Rural,Single,1,Employed,Part-Time,5307.092726243226,19,34433.33571817587,533,10145.213898689535,2139.2407508898677,736.9166751398392,27243.536907448317,Bonds,High,Save for House,False,Average,False,Increase Savings
50,Suburban,Widowed,2,Employed,Contract,7563.746105697072,21,27058.233667921508,522,14112.480952178343,927.1329238821974,981.3383537564885,18471.725020505033,Cryptocurrency,Low,Healthcare,False,Average,False,Invest in Stocks
19,Rural,Widowed,0,Self-Employed,Contract,4994.358096572405,9,16462.93691924413,489,15756.84082157384,1615.3336719751007,506.0660046718036,20468.37022707909,Real Estate,High,Retirement,False,Poor,False,Reduce Expenses
27,Rural,Widowed,1,Retired,Part-Time,4385.970739788455,26,30181.83941317684,548,20143.79067203133,2065.2768616234243,926.874698014966,24606.605747760306,Real Estate,Low,Travel,True,Poor,False,Invest in Stocks
50,Suburban,Divorced,3,Employed,Contract,4840.468785387567,10,37304.27047373737,342,0.0,1356.4801712726885,568.153806471364,0.0,None,Low,Retirement,False,Poor,True,Invest in Stocks
49,Suburban,Divorced,3,Student,Full-Time,3372.6934523604227,9,11679.007912529602,384,10019.07544995778,760.7600090513898,669.8986939172569,14180.245704825147,Real Estate,High,Healthcare,True,Average,True,Increase Savings
28,Rural,Divorced,1,Self-Employed,Contract,4710.424945149364,13,18145.988578595712,643,5476.890964917286,2524.3997005271913,1139.8663667102205,31575.89296388805,Cryptocurrency,Low,Healthcare,True,Good,False,Reduce Expenses
41,Urban,Married,3,Retired,Full-Time,4181.94129724543,9,17958.53440984734,683,9300.396319392143,1618.52486948378,723.3102021705992,28596.43903919895,Real Estate,High,Healthcare,False,Good,True,Increase Savings
53,Rural,Widowed,3,Unemployed,Intern,6109.2509858905305,29,0.0,816,7245.352449658433,2100.688904658016,1185.8988047771174,8884.932785789082,Cryptocurrency,Medium,Education,False,Poor,True,Reduce Expenses
29,Urban,Widowed,4,Retired,Intern,2821.466225696989,1,1143.5536363992724,626,1513.9690903623268,2733.539802018896,867.7621258681377,34829.85882744272,Real Estate,Medium,Healthcare,True,Good,False,Reduce Expenses
68,Urban,Widowed,3,Unemployed,Part-Time,1074.372823327691,27,0.0,521,10510.48576735077,1525.0585978822353,1017.7961360722225,22212.591344497647,Bonds,Low,Save for House,True,Average,False,Increase Savings
46,Rural,Single,1,Retired,Intern,2595.197299812118,21,21265.068877671885,374,4719.479158681179,1459.9471046476533,1074.3279326774505,10234.242375835856,Cryptocurrency,Low,Retirement,False,Poor,False,Increase Savings
52,Suburban,Divorced,1,Self-Employed,Part-Time,8611.282019167309,23,15534.901215635302,388,10733.103324725625,1415.8800636510878,591.1544102995027,26208.383643705474,Real Estate,Medium,Education,False,Average,False,Increase Savings
18,Rural,Widowed,0,Student,Contract,4064.23715955657,19,14914.506864642153,486,1667.5692389002907,1764.202360417209,1064.9761010882012,32896.801194223466,Cryptocurrency,Medium,Travel,True,Average,False,Invest in Stocks
18,Rural,Widowed,2,Self-Employed,Part-Time,6512.033191759813,0,19483.943762056646,513,17481.414568229862,1307.3184878397121,1149.6332171284005,27856.159163771743,Real Estate,High,Education,False,Average,True,Reduce Expenses
54,Urban,Divorced,1,Retired,Part-Time,8750.628436977251,2,27789.03782899178,630,18605.92146762235,2442.6573665170426,850.372134820346,33010.33515559532,Bonds,High,Healthcare,True,Poor,True,Increase Savings
23,Rural,Divorced,3,Retired,Intern,4805.055966445328,26,9911.253534956893,501,8363.762437648413,1414.0331182799782,1029.1889948177038,18162.770843433267,Real Estate,Low,Retirement,True,Good,True,Reduce Expenses
56,Suburban,Widowed,0,Unemployed,Full-Time,1166.3321819578205,21,37604.16838627561,593,11015.071196839966,1060.3014154173652,680.1214513172802,27404.984915165667,Real Estate,Medium,Education,True,Good,True,Reduce Expenses
58,Rural,Married,4,Employed,Full-Time,5945.886211075818,4,0.0,831,16494.693287276856,1856.4589388234633,387.45983850540955,20810.45808668743,None,Medium,Travel,False,Poor,False,Invest in Stocks
35,Rural,Married,0,Self-Employed,Part-Time,5277.47406109991,26,19795.261988013342,784,11250.44816144539,2022.134689295083,339.6141669103818,23913.613790052492,Real Estate,High,Save for House,True,Average,True,Invest in Stocks
33,Urban,Married,3,Unemployed,Part-Time,2625.5603021214683,8,18524.81764696435,542,8849.933646225658,1944.6199141541488,740.3571831702714,30318.62827520838,Cryptocurrency,Low,Travel,False,Good,True,Invest in Stocks
22,Suburban,Married,1,Retired,Intern,2417.6776847741717,0,32748.156123673456,730,11800.443184346486,1564.9732963120557,1169.1579024789037,35093.666760058855,Cryptocurrency,Medium,Retirement,True,Good,False,Increase Savings
59,Suburban,Single,0,Retired,Intern,5316.872542715382,17,12575.214351416982,806,16970.99004103097,731.8281640937618,729.301167248356,16707.62821077514,Stocks,Medium,Retirement,True,Average,True,Invest in Stocks
60,Urban,Married,3,Employed,Contract,3910.6672658904745,26,36030.96287503624,457,13030.282341616703,940.3556844073527,773.408729117762,8433.185416939981,None,Low,Healthcare,False,Poor,False,Increase Savings
49,Suburban,Widowed,4,Self-Employed,Full-Time,5606.259169944553,23,16492.003840782047,328,5215.388477559827,1160.738024863423,375.3435930465102,11645.347733389344,Cryptocurrency,Low,Healthcare,True,Average,True,Reduce Expenses
19,Suburban,Widowed,0,Retired,Intern,4519.592871379403,0,18472.923399196352,686,10137.57670372889,1479.6669359613898,1207.488842538173,16881.15200946149,Real Estate,High,Healthcare,True,Average,False,Increase Savings
19,Rural,Widowed,3,Student,Part-Time,8055.429115457573,17,17763.842558992448,821,16150.567737224159,2512.1029390104477,391.12244603350166,15768.41765849213,Cryptocurrency,Low,Save for House,True,Average,False,Reduce Expenses
57,Urban,Married,2,Employed,Intern,5005.145512469275,7,30471.44363705249,527,6625.272780462003,1990.6711535253628,1240.0448370497213,29810.609916688547,Stocks,Medium,Education,True,Good,True,Reduce Expenses
59,Suburban,Divorced,1,Employed,Contract,6267.224511240607,7,32797.22246677107,308,11700.968433079885,2173.7112258794773,734.3853766159997,19111.23173842537,Stocks,Medium,Education,True,Average,False,Increase Savings
53,Urban,Widowed,3,Unemployed,Intern,3206.566193829468,22,10928.888057845737,820,14199.38204655172,1410.3611292253374,1328.441527670257,5610.111024029196,None,Low,Travel,True,Good,True,Invest in Stocks
56,Rural,Married,2,Unemployed,Intern,5013.224482787174,21,0.0,559,5537.1401549346465,1179.2341477967123,0.0,18738.91337102973,Bonds,Medium,Healthcare,True,Average,False,Invest in Stocks
29,Suburban,Single,1,Unemployed,Full-Time,2909.1261699810657,16,5283.475757025626,508,16696.879678235888,1437.8602476949898,949.924110554363,29383.211775661905,None,Low,Save for House,False,Poor,False,Invest in Stocks
64,Urban,Single,1,Retired,Contract,5103.115952213396,10,22477.746020029546,756,11894.167963008591,1267.7545791477273,1017.4334028742683,13444.359108997294,Cryptocurrency,Medium,Travel,True,Good,False,Invest in Stocks
36,Suburban,Widowed,1,Employed,Intern,4474.719440966417,22,19750.312167312004,501,14407.227686609818,568.7350913003223,1229.7245322534159,22458.288837158016,Cryptocurrency,High,Travel,False,Good,True,Reduce Expenses
45,Urban,Divorced,2,Self-Employed,Part-Time,2488.5409576954426,2,22113.990060709784,327,2119.7747568797613,986.1946253337085,964.6102264864244,22811.310816939025,Stocks,High,Save for House,True,Poor,True,Reduce Expenses
18,Rural,Single,0,Student,Part-Time,6709.052991483656,25,9122.418049132859,579,1896.5406088661584,586.3099837647433,743.4301693153147,20372.06528135297,Cryptocurrency,High,Travel,True,Poor,False,Reduce Expenses
32,Rural,Married,2,Retired,Part-Time,950.8936211198547,18,31936.11222637851,544,14321.511262499007,1981.8913080476502,612.161383393039,19684.89228182113,Bonds,Medium,Travel,False,Good,True,Invest in Stocks
53,Suburban,Married,2,Retired,Full-Time,4033.5023135929864,9,17353.421881085455,583,6900.024425901474,1792.1718965386399,661.8588415279785,23731.85551808895,None,Low,Retirement,True,Good,False,Increase Savings
30,Suburban,Single,3,Self-Employed,Full-Time,5022.7595737587935,18,0.0,358,13846.075256419783,1783.0112180484562,1259.859967411397,24740.587833231944,Real Estate,Low,Retirement,False,Poor,True,Invest in Stocks
60,Urban,Widowed,3,Retired,Part-Time,4677.658946224756,20,22330.246697227143,455,8574.69098942658,1431.061393539952,786.0539715538882,12362.540789462157,Stocks,Medium,Education,False,Average,True,Reduce Expenses
38,Suburban,Widowed,4,Self-Employed,Contract,3851.8828930053546,25,28211.389974927373,364,4983.152212578602,1100.5355455273375,908.2053953524311,21116.75669600989,Bonds,Low,Travel,False,Poor,True,Reduce Expenses
29,Rural,Single,2,Self-Employed,Part-Time,4682.002324914115,12,22156.404668253297,837,11982.902528567862,1840.8926211137236,916.6953025692899,29329.18947405813,Cryptocurrency,High,Travel,False,Poor,True,Increase Savings
22,Rural,Married,2,Employed,Part-Time,3783.2639248323576,15,21953.314688235932,732,16707.3960166626,701.4883307065944,753.7585017593159,21327.905645798935,Cryptocurrency,High,Travel,False,Good,True,Invest in Stocks
24,Rural,Divorced,4,Retired,Intern,3586.6816776057453,21,23407.57927220092,728,22194.01680003388,1494.2072769095066,937.3663295742149,24574.431457461247,Real Estate,Medium,Save for House,True,Poor,False,Invest in Stocks
22,Suburban,Married,2,Retired,Full-Time,3831.0249658035327,10,4194.0630782519565,354,9306.204073716071,1702.9662492557466,1183.4339297844176,16811.92238822137,Bonds,High,Retirement,True,Poor,True,Increase Savings
65,Urban,Divorced,2,Student,Contract,3084.716950666937,6,42976.29536638894,715,9875.861982032386,3042.7568702895114,440.1118177225864,3410.541954619126,Stocks,Low,Healthcare,True,Average,False,Reduce Expenses
21,Rural,Divorced,4,Self-Employed,Contract,4519.686979901404,21,15102.596243834654,403,15131.461549044681,1511.5676168559949,1360.4722300610633,11567.056768176044,Stocks,High,Education,False,Average,True,Invest in Stocks
30,Rural,Single,4,Student,Full-Time,3320.804500476911,11,42002.67755713881,405,11185.087189898195,2259.2255537520314,852.7046204373305,15510.225547709188,None,Low,Save for House,False,Poor,True,Reduce Expenses
54,Suburban,Widowed,4,Student,Contract,1123.1541757481496,18,11688.066987275432,648,4804.222172001771,1639.879774204261,240.13583583862896,29366.242281013256,Real Estate,Low,Travel,False,Average,False,Increase Savings
58,Suburban,Divorced,1,Student,Intern,2779.579473591481,5,34500.13059260299,739,2113.4253753974417,1286.0944573011866,341.56278880660443,14726.024670987914,None,Low,Healthcare,False,Poor,False,Increase Savings
32,Suburban,Married,3,Unemployed,Contract,2947.6587528857444,21,23602.694730911957,586,13602.874271568915,1056.2755289513682,262.2801521066947,22527.801995935337,Cryptocurrency,High,Save for House,False,Good,True,Reduce Expenses
33,Suburban,Widowed,4,Employed,Intern,2827.913666188482,22,21504.71650451832,727,7766.116753911275,2167.3388724061497,889.1900048448413,0.0,Real Estate,Medium,Healthcare,False,Average,False,Reduce Expenses
38,Urban,Widowed,1,Self-Employed,Part-Time,5398.4809242652345,22,5918.1281467342105,443,3832.7511520210437,1667.9791671474677,976.426515617339,19054.12037166511,None,Medium,Travel,False,Poor,False,Reduce Expenses
53,Suburban,Married,3,Retired,Contract,4079.599068955673,11,38087.27834625739,840,22280.567608401656,1909.3066802893845,586.084384153559,17119.43066720421,None,Low,Education,False,Average,True,Invest in Stocks
41,Urban,Single,4,Unemployed,Full-Time,4690.39812864796,26,26284.58016137715,547,13414.999085704869,1900.716726901548,1005.1915313620858,34742.589520901805,None,Low,Education,True,Poor,True,Increase Savings
33,Urban,Widowed,2,Unemployed,Intern,3241.2620587993915,17,18646.248950366353,793,3759.0633995242206,1549.0463695600226,597.7788881178769,28658.43243293839,Cryptocurrency,Low,Retirement,True,Poor,True,Reduce Expenses
31,Rural,Divorced,2,Unemployed,Intern,4448.780133161844,8,38110.62480152001,425,7569.841260803105,1676.1262803909285,1114.9054553081496,37314.9980500856,Real Estate,High,Education,False,Average,False,Invest in Stocks
39,Rural,Married,3,Retired,Part-Time,8972.778054075918,17,21328.702960902752,751,9065.542394252705,1227.5519017914066,375.8762995618927,19125.19445673166,Cryptocurrency,Low,Travel,True,Good,True,Invest in Stocks
66,Suburban,Divorced,0,Unemployed,Part-Time,6734.320946578663,21,53147.08383935935,663,15292.332357712028,1590.5872172304353,456.65721615122186,9677.027826971047,None,Low,Education,False,Poor,False,Reduce Expenses
67,Rural,Married,3,Unemployed,Full-Time,5627.372813527044,19,35250.15679927077,324,11023.171071258446,1865.8272203531512,828.0444667714218,53482.7159867181,Bonds,Low,Healthcare,False,Average,False,Invest in Stocks
23,Urban,Married,1,Retired,Contract,6971.200055998638,2,15039.36386289396,783,11027.888776318388,1623.735244387347,679.4030872656704,8232.4939238997,Bonds,Medium,Retirement,False,Good,False,Reduce Expenses
59,Suburban,Widowed,2,Employed,Part-Time,4142.630143290477,26,40375.728318065085,581,17343.245002649433,1606.7246948841175,734.8176791489226,18765.26746827638,Real Estate,Medium,Travel,True,Good,True,Increase Savings
53,Suburban,Married,2,Unemployed,Intern,6008.282305593498,15,20912.84576791787,656,11610.690116035901,1166.003374544358,908.0341181056128,9209.949009435895,Real Estate,Medium,Education,True,Average,True,Increase Savings
18,Suburban,Widowed,4,Self-Employed,Intern,5109.996462459813,26,50088.37160562763,580,16003.44945495265,1146.1761128406076,34.59502736192496,15892.055305187052,None,Low,Travel,True,Good,False,Increase Savings
49,Suburban,Married,1,Employed,Intern,1691.063927111279,16,21224.87544765695,772,10484.67061574672,1152.9753275377263,715.5905157312836,17439.17910562588,None,Low,Education,True,Good,True,Reduce Expenses
23,Rural,Widowed,0,Retired,Intern,5410.783117953956,16,18811.859514923366,573,6307.7079259836555,1619.9713484001766,774.199693757825,38028.51528980101,Real Estate,Medium,Save for House,False,Good,False,Invest in Stocks
48,Suburban,Widowed,1,Employed,Intern,5985.453619393126,9,21409.524496331414,833,10158.816528605856,1518.854246793652,322.9412096644743,32825.758712197734,Stocks,High,Travel,False,Average,False,Invest in Stocks
18,Urban,Single,1,Employed,Contract,6444.574498842393,29,25992.600246169335,548,15337.59098733986,1295.0176631642735,606.9878722507311,28141.493972964574,Stocks,High,Save for House,False,Average,True,Invest in Stocks
67,Suburban,Widowed,1,Student,Intern,8879.918947565013,25,43239.66890701778,579,10138.723149618514,1601.8463095608217,637.6182719072016,12690.505051463413,Real Estate,High,Education,True,Good,False,Invest in Stocks
68,Rural,Widowed,1,Retired,Contract,1268.0584827430043,19,24392.853809637083,409,17068.55093291072,1476.0794824535571,1213.8190907242567,5289.916840210979,Stocks,Low,Save for House,False,Good,False,Invest in Stocks
54,Urban,Widowed,0,Employed,Contract,3961.0658548380843,0,18399.276124925313,630,8912.625193339709,2125.875864213675,1148.4900849734204,3652.455768818765,Bonds,High,Travel,True,Good,False,Increase Savings
52,Rural,Single,1,Retired,Intern,6408.500742309556,12,12598.099683969562,721,7813.879431359315,2028.1631766103678,792.8208021864848,34970.506123509556,Bonds,High,Save for House,True,Average,False,Increase Savings
66,Rural,Divorced,0,Unemployed,Full-Time,7989.245229791419,17,31785.219436528554,394,11524.356553740112,1260.4112988232314,795.7794029674308,26608.437519945182,Cryptocurrency,Low,Save for House,True,Good,False,Increase Savings
47,Rural,Divorced,3,Retired,Intern,2417.857690479195,15,11684.823040797024,778,5630.088654740354,1935.6486153131345,854.6312986427306,12409.42496218518,Cryptocurrency,Low,Education,False,Poor,False,Invest in Stocks
21,Rural,Single,1,Employed,Contract,2923.8637397915372,21,2467.5451704901607,759,12221.122040220032,1511.5165502322182,963.2075416203924,11423.471271986506,Stocks,High,Save for House,True,Poor,True,Increase Savings
52,Suburban,Widowed,4,Retired,Intern,5212.573090657186,6,5866.3033954060975,662,11043.226103816582,1656.008430373727,540.5052210508002,32643.619905823918,Bonds,Low,Education,True,Average,False,Increase Savings
60,Rural,Widowed,0,Student,Part-Time,9693.441215161325,12,13026.08593423445,545,3178.723255523578,1969.2424205982902,1336.2635511309063,34966.537082094976,Cryptocurrency,High,Save for House,False,Good,True,Invest in Stocks
31,Suburban,Married,0,Student,Part-Time,3801.5599788281033,17,18133.484428867454,329,2346.2451345347445,1569.109167746009,1314.8051192968774,36921.05734615907,Stocks,Low,Education,False,Poor,False,Invest in Stocks
66,Suburban,Divorced,1,Student,Full-Time,3398.973048811723,29,35797.581047844295,426,3700.551990865205,2720.040539316232,232.19967630665326,15592.955843494265,None,Medium,Retirement,True,Good,True,Reduce Expenses
57,Rural,Widowed,4,Retired,Intern,4300.623390830947,4,11341.34672385566,774,7097.891267550811,1605.804970109277,820.2657147319879,8336.532516243811,None,High,Save for House,False,Poor,True,Reduce Expenses
39,Urban,Widowed,4,Employed,Part-Time,6015.272636108812,22,37956.926787016404,565,8976.163312682711,1033.0296872910353,742.8712539138094,26421.238889002434,Stocks,High,Healthcare,False,Average,False,Increase Savings
27,Rural,Divorced,1,Unemployed,Contract,6157.502598036821,14,0.0,427,8407.11140633976,814.781831470882,705.2391287213827,15926.610369951199,Real Estate,Medium,Healthcare,True,Average,False,Invest in Stocks
18,Rural,Widowed,4,Self-Employed,Part-Time,4223.29953734951,4,59519.042012576094,318,4397.351001620422,1976.6470276856676,1262.0251296199356,25151.245904505417,Cryptocurrency,High,Retirement,False,Good,False,Reduce Expenses
28,Suburban,Single,0,Unemployed,Full-Time,1764.8275303256605,17,0.0,782,7203.518118872656,1978.7473816067534,1099.5807039215154,22990.32736694121,Stocks,Low,Retirement,True,Good,False,Reduce Expenses
68,Suburban,Widowed,1,Student,Contract,3977.3286931488897,16,22971.305577397063,461,9978.630821584808,1666.412623655037,1077.1695095253417,22422.362951147665,None,Low,Save for House,False,Good,True,Invest in Stocks
61,Suburban,Widowed,1,Employed,Contract,4437.899709313057,15,16736.299739127335,393,9948.854692246181,1148.0344876134857,1089.9388071973565,17123.70152421076,Stocks,Low,Education,True,Good,False,Invest in Stocks
41,Suburban,Divorced,1,Retired,Full-Time,5241.505195594346,17,8220.27917235601,631,15155.702454354807,2095.718293461157,174.64675786489352,16839.518709847714,Stocks,Low,Travel,False,Good,False,Invest in Stocks
